fid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,x,y
4048,0.1362,0,0.0077,0.2311,0.5368,0.0722,0.0099,0.0001,0.006,48,0.01092437,0,0.057142857,0.026890756,0,0,0,0.36302521,0,0.269747899,0.217647059,0,0.032773109,0,0.021848739,0,0,1.410697209,32.262733,983,0.198881036,13.70343146,0.000896411,0.776291728,0.000431489,0,0.000813285,0.001311556,21.72580645,1,13.15254237,4,54.81372584,0.003585644,3.105166912,0.001725956,0.001725956,0.00325314,86.9032258,4,52.61016948,1.184222,0.152287,10,0,8,2,1,0,1,1,119.5900664,32.03522327
4049,0.044,0,0.0129,0.1076,0.6902,0.0862,0.0501,0,0.0089,796,0,0,0,0.026816609,0.025086505,0,0,0.30449827,0,0.019031142,0.067474048,0,0.435986159,0.121107266,0,0,0,4.989299576,0,13194,0,4.43976911,0.003596411,1.300102498,0.000545971,0.012417952,0.00072194,0.000759413,20.68794326,1.75,12.71428572,22,97.67492042,0.079121042,28.60225496,0.012011362,0.012011362,0.01588268,455.1347517,38.5,279.7142858,2.319154,0.80875,20,0,20,0,1,0,1,0,119.5900664,32.00522327
4050,0.0329,0.0001,0.0091,0.3078,0.4546,0.1322,0.0573,0,0.006,344,0.170588235,0.004201681,0.057142857,0,0.022689076,0,0.003361345,0.500840336,0,0.063865546,0.033613445,0,0.086554622,0.057142857,0,0,0,4.491034436,0,3055,0,3.310444978,0.01165334,0.916131808,0.000534241,0.003936686,0.000733646,0.001019844,17.72131148,2.125,14.53125,11,36.41489476,0.12818674,10.07744989,0.005876651,0.005876651,0.008070106,194.9344263,23.375,159.84375,1.008174,0.033875,8,0,5,3,1,0,1,1,119.5900664,31.97522327
4051,0.0346,0.0012,0.0107,0.542,0.2778,0.0955,0.0322,0,0.006,70,0.461937716,0.133217993,0.029411765,0,0.009515571,0,0,0.242214533,0,0.121972318,0,0,0.001730104,0,0,0,0,1.270514122,7.0442615,70,0.204730478,3.485245079,0.125497508,1.077485747,0.000707178,0.001625413,0.000684198,0.000980515,14.856,4.333333334,14.82857143,4,13.94098032,0.501990032,4.309942988,0.002828712,0.002828712,0.002736792,59.424,17.33333334,59.31428572,0.550126,-0.43279,1,0,0,1,1,0,0,1,119.5900664,31.94522327
4052,0.0428,0.0017,0.0038,0.7335,0.1265,0.0538,0.0318,0,0.006,0,0.562283737,0.423875433,0,0,0.007785467,0,0,0.006055363,0,0,0,0,0,0,0,0,0,0.791905129,4.116836,0,0.210934432,4.304564524,0.171214457,0.384560221,0.000719181,0.001811156,0.000814732,0.000331088,13.47482015,3.857142858,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,31.91522327
4053,0.0308,0.0014,0.0092,0.5699,0.292,0.0579,0.0328,0.0001,0.006,43,0.300840336,0.455462185,0.057142857,0.022689076,0.009243697,0,0,0.154621849,0,0,0,0,0,0,0,0,0,1.004271204,20.008966,111,0.198881036,3.101581269,0.136254437,0.926888737,0.000661783,0.002159105,0.000758095,0.001349132,14.55084746,4.720000001,13.87692308,3,9.304743807,0.408763311,2.780666211,0.001985349,0.001985349,0.002274285,43.65254238,14.16,41.63076924,0,0,0,0,0,0,0,0,0,0,119.5900664,31.88522327
4054,0.0314,0.001,0.0054,0.7094,0.111,0.1106,0.0251,0.0001,0.006,2,0.472318339,0.509515571,0,0,0.005190311,0,0,0.012975779,0,0,0,0,0,0,0,0,0,0.505941377,0,1,0,3.154469504,0.099501596,0.545017749,0.000666736,0.002114051,0.000702459,0.000582393,13.95798319,5.090909091,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,31.85522327
4055,0.0818,0.0059,0.0122,0.5798,0.1221,0.1329,0.0593,0,0.006,14,0.378991597,0.519327731,0.057142857,0,0.023529412,0,0,0.010084034,0,0.01092437,0,0,0,0,0,0,0,0.937983708,0,19,0,8.22905088,0.59252752,1.225393524,0.00054477,0.001717805,0.000629629,0.000544742,16.02083334,5.76923077,16.24324325,3,24.68715264,1.77758256,3.676180572,0.00163431,0.00163431,0.001888887,48.06250002,17.30769231,48.72972975,0,0,0,0,0,0,0,0,0,0,119.5900664,31.82522327
4056,0.0361,0.0013,0.0086,0.5071,0.1938,0.1538,0.0917,0.0016,0.006,91,0.461072664,0.150519031,0.029411765,0,0.03200692,0,0,0.279411765,0,0.047577855,0,0,0,0,0,0,0,0.656737416,0,32,0,3.631360034,0.129979562,0.867725627,0.000592865,0.001434155,0.000860209,0.000393206,14.4296875,4.12,13.15873016,2,7.262720068,0.259959124,1.735451254,0.00118573,0.00118573,0.001720418,28.859375,8.24,26.31746032,-0.275601,0.464043,1,3,4,0,1,1,1,0,119.5900664,31.79522327
4057,0.039,0.0002,0.0047,0.2376,0.505,0.1705,0.0365,0.0004,0.006,469,0.120242215,0.006055363,0,0.041522491,0.01384083,0,0,0.612456747,0,0.046712803,0.024221453,0,0.120242215,0.014705882,0,0,0,1.364145045,0,1385,0,3.925382767,0.016135394,0.475097709,0.000576431,0.003327865,0.001174175,0.002483244,19.47368421,2.333333334,9.936170214,15,58.88074151,0.24203091,7.126465635,0.008646465,0.008646465,0.017612625,292.1052632,35.00000001,149.0425532,1.443418,0.20219,14,0,11,3,1,0,1,1,119.5900664,31.76522327
